site_id,latitude,longitude,start_date,end_date,status,timestamp,pm10,pm2_5,aqi
6583729659336/0A,-37.8159953,144.9649134,2023-09-14,2026-09-14,active,2026-04-12T18:00,6.0,4.1,21
3808548899415/V11,-37.8454512,144.978986,2023-06-22,2026-07-20,active,2026-04-12T18:00,6.0,4.1,21
3808548899415/3V1,-37.8454512,144.978986,2023-06-22,2026-07-20,active,2026-04-12T18:00,6.0,4.1,21
3808548899415/V7,-37.8454512,144.978986,2023-06-22,2026-07-20,active,2026-04-12T18:00,6.0,4.1,21
3808548899415/A,-37.8454512,144.978986,2023-06-22,2026-07-20,active,2026-04-12T18:00,6.0,4.1,21
3808548899415/V8,-37.8454512,144.978986,2023-06-22,2026-07-20,active,2026-04-12T18:00,6.0,4.1,21
3.80855E+12,-37.8454512,144.978986,2023-06-22,2026-07-20,active,2026-04-12T18:00,6.0,4.1,21
3808548899415/V6,-37.8454512,144.978986,2023-06-22,2026-07-20,active,2026-04-12T18:00,6.0,4.1,21
2.55433E+12,-37.7965126,144.9319336,2023-07-21,2026-07-21,active,2026-04-12T18:00,4.6,3.4,20
2554333499446/A,-37.7965126,144.9319336,2023-07-21,2026-07-21,active,2026-04-12T18:00,4.6,3.4,20
3.5475E+12,-37.8175803,144.9699764,2023-09-18,2025-09-18,inactive,2026-04-12T18:00,6.0,4.1,21
9.62939E+12,-37.8178802,144.9633581,2023-09-06,2026-09-06,active,2026-04-12T18:00,6.0,4.1,21
6.48165E+12,-37.8176048,144.9621837,2023-08-31,2026-08-31,active,2026-04-12T18:00,6.0,4.1,21
6702590546354/VARIATIONA,-37.8131502,144.9567804,2023-07-27,2026-07-27,active,2026-04-12T18:00,6.0,4.1,21
9.88474E+12,-37.8303045,144.9666766,2023-08-07,2026-08-07,active,2026-04-12T18:00,6.0,4.1,21
2.00769E+12,-37.8087981,144.966276,2023-09-08,2026-09-08,active,2026-04-12T18:00,6.0,4.1,21
